|TABLE_NAME        |COLUMN_NAME      |DATA_TYPE    |CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE|
|------------------|-----------------|-------------|------------------------|-----------|
|ListofDisconnected|Entity_ID        |nvarchar     |10                      |NO         |
|ListofDisconnected|AccountName      |varchar      |50                      |NO         |
|ListofDisconnected|Project_ID       |char         |10                      |YES        |
|ListofDisconnected|MeterStatus      |nchar        |2                       |YES        |
|ListofDisconnected|DateRead         |datetime     |                        |NO         |
|ListofDisconnected|DueDate          |datetime     |                        |NO         |
|ListofDisconnected|PrevRead         |float        |                        |NO         |
|ListofDisconnected|CurRead          |float        |                        |NO         |
|ListofDisconnected|UsedPerMtr       |float        |                        |NO         |
|ListofDisconnected|RatePerMtr       |money        |                        |NO         |
|ListofDisconnected|CurCharge        |money        |                        |NO         |
|M_Access          |GroupID          |nvarchar     |5                       |NO         |
|M_Access          |FieldID          |nvarchar     |50                      |NO         |
|M_Access          |Description      |nvarchar     |100                     |YES        |
|M_Access          |All              |int          |                        |YES        |
|M_Access          |New              |int          |                        |YES        |
|M_Access          |View             |int          |                        |YES        |
|M_Access          |Edit             |int          |                        |YES        |
|M_Access          |Del              |int          |                        |YES        |
|M_Access          |Order            |int          |                        |YES        |
|M_Bank            |Bank_ID          |nvarchar     |10                      |NO         |
|M_Bank            |Bank_Desc        |nvarchar     |50                      |NO         |
|M_Bank            |Branch           |nvarchar     |50                      |YES        |
|M_Bank            |Address          |nvarchar     |150                     |YES        |
|M_Bank            |TelNo            |nvarchar     |30                      |YES        |
|M_Bank            |FaxNo            |nvarchar     |30                      |YES        |
|M_Bank            |ContactPerson    |nvarchar     |50                      |YES        |
|M_Bank            |Notes            |nvarchar     |500                     |YES        |
|M_Bank            |Status_ID        |nvarchar     |1                       |NO         |
|M_Bank            |Createdby        |nvarchar     |10                      |NO         |
|M_Bank            |DateCreated      |smalldatetime|                        |NO         |
|M_Bank            |Editedby         |nvarchar     |10                      |YES        |
|M_Bank            |DateEdited       |smalldatetime|                        |YES        |
|M_BankType        |Type_id          |nvarchar     |2                       |NO         |
|M_BankType        |Type_Desc        |nvarchar     |50                      |NO         |
|M_BankType        |Terms            |nvarchar     |2                       |NO         |
|M_BankType        |Status_ID        |nvarchar     |1                       |NO         |
|M_BankType        |Createdby        |nvarchar     |10                      |NO         |
|M_BankType        |DateCreated      |smalldatetime|                        |NO         |
|M_BankType        |Editedby         |nvarchar     |10                      |YES        |
|M_BankType        |DateEdited       |smalldatetime|                        |YES        |
|M_BillRate        |BillType         |varchar      |2                       |NO         |
|M_BillRate        |ClassID          |varchar      |2                       |NO         |
